surname of groom,GROOM_FATHER_IDENTITY,if bride's father deceased,month,marital status of groom,BRIDE_IDENTITY,if bride's mother deceased,GROOM_IDENTITY,bride's mother's forename,year,GROOM_BIRTH_RECORD_IDENTITY,BRIDE_FATHER_BIRTH_RECORD_IDENTITY,address of groom,groom's father's surname,groom's mother's maiden surname,bride's father's surname,day,if groom's father deceased,surname of bride,gdeath,notes1,address of bride,BRIDE_MOTHER_BIRTH_RECORD_IDENTITY,if groom's mother deceased,BRIDE_FATHER_IDENTITY,age of groom,groom's mother's forename,age of bride,occupation of groom,bride's father's forename,groom's father's occupation,forename of groom,GROOM_FATHER_BIRTH_RECORD_IDENTITY,ID,bride's father's occupation,groom's father's forename,bride's mother's maiden surname,bdeath,forename of bride,GROOM_MOTHER_IDENTITY,place of marriage,BRIDE_BIRTH_RECORD_IDENTITY,occupation of bride,marital status of bride,BRIDE_MOTHER_IDENTITY,GROOM_MOTHER_BIRTH_RECORD_IDENTITY
de Boer,1863,,NOVEMBER,B,3276,,2821,Lea,1881,2821,3274,"1 Station Terrace, Scotstoun, Kirkliston",de Boer,Thill,Rossi,25,,Rossi,2821,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Caldra House, Scottish Borders",3275,,3274,31,Ann,26,ENGINEMAN,Tobias,BLACKSMITH,Wm,1863,1019,INNKEEPER'S SON,John,Meier,3276,Michelle,1944,Calderbraes North Lanarkshire,3276,MILLINER,S,3275,1944
Rossi,3274,,NOVEMBER,W,3397,,3280,Ava,1881,3280,3395,"1592 Castle Road, South Ayrshire",Rossi,Meier,Liepins,5,,Liepins,3280,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Craigskeen Place, Heathfield, Prestwick",3396,,3395,34,Lea,25,CHAPLAIN OF JAIL & PARISH MISSIONERY HAMILTON,Dylan,INNKEEPER'S SON,Jozef,3274,1020, ,Tobias,,3397,Mia,3275,West End Scottish Borders,3397,GENERAL SERVT,S,3396,3275
Larsson,1905,,JULY,B,3088,,3135,Jane,1881,3135,2633,"1 Bracklinn Road, Drumardoch Farm, Callander",Larswon,Markovic,John,20,,Margaret,3135,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Geisher Road, Braeleny Farm, Stirling",2534,,2633,19,Jans,21,S,Sanchez,SCAFANGER,Robert,1905,1021,SCHOLAR,William,Hernandez,3088,Sanchez,2230,Rummond Fife,3088,INN KEEPERS DAUR,S,2534,2230
Santana,6532,,MAY,B,5892,,6536,Flora,1972,6536,4743,"1 Castlefield Apartments, Hilton, Highland",Santana,Kobayashi,Grigoryan,23,,Grigoryan,6536,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Stewart Cottages, Aberdeenshire",4804,,4743,32,Ruby,30,LAB RAILWAY,Archibald,FARMER,Joona,6532,2081,LABOURER,Matthew,Garcia,5892,Ann,6533,Coplandhill Aberdeenshire,5892,DOMESTIC SERVANT,S,4804,6533
Szabo,2239,,MAY,B,3072,,2989,Mary,1881,2989,2099,"86 Bay View Terrace, Dumfries and Galloway",Szabo,Larsen,Markovic,28,,Markovic,2989,SYNTHETIC DATA PRODUCED USING VALIPOP,"2 Golf Course Road, Girvan, South Ayrshire",1964,,2099,24,Emma,21, ,John,AG LAB,Willia,2239,1022,LAB IRONWORK,Andrea,Larsson,3072,Isabella,2006,Scottish Borders,3072,DRESSMAKER,S,1964,2006
Larsson,1799,,AUGUST,D,3266,,2929,Jane,1881,2929,2463,"34 Gordon Brown Place, Highland",Larsson,WILLIAMS,Brown,29,,Brown,2929,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Broad Lane, Moray",2534,,2463,35,Jane,24,FARMER OF 4 ACRES,Harry,A B SEAMAN,Alexander,1799,1023,FISH CURER,Daniel,Hernandez,3266,Mathilda,1942,,3266,DOMESTIC SERVANT,D,2534,1942
Greco,1916,,DECEMBER,B,2490,,2745,Ellie,1882,2745,2487,"1 Jenny Moore's Road, Lessudden House, Scottish Borders",Greco,Levi,Soto,4,,Soto,2745,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Ruthven Park, Auchterarder, Perth and Kinross",2488,,2487,35,Maria,53,DRAWER,Artjom,CROFTER OF AGR LAB,James,1916,1029,HOUSE PROPRIETOR,Lucas,Angelov,2490,Sanne,2727,Crail Fife,2490, ,W,2488,2727
de Boer,1793,,FEBRUARY,B,3247,,2739,Anna,1882,2739,3245,"1 Clenoch Parks Road, Stranraer, Dumfries and Galloway",de Boer,Garcia,Kovalchuk,23,,Kovalchuk,2739,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Camusterrach Place, Highland",3246,,3245,35,Elizabeth,35,IRONSTONE MINER,Aaron,SAILOR,John,1793,1030,PAUPER FORMERLY A WOOL WEAVER,Alexander,Kavaliauskas,3247,Ines,1908,Langholm Dumfries and Galloway,3247,DAIRYMAID,S,3246,1908
Sanchez,2633,,DECEMBER,B,3335,,3115,Aada,1882,3115,3330,"1 Geisher Road, Braeleny Farm, Stirling",Sanchez,Hernandez,White,29,,White,3115,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Verona Place, Ardrossan, North Ayrshire",3331,,3330,21,Jane,31,HARNESS WEAVER,Ryan,SCHOLAR,Thos,2633,1031,WOOD SAWYER,John,Toth,3335,Anna,2534,Grubbit Mill Scottish Borders,3335, ,S,3331,2534
Larsson,1925,,MARCH,B,2940,,3003,Antonia,1882,3003,1995,"32 Gordon Brown Place, Highland",Larsson,Rivera,Sanchez,25,,Sanchez,3003,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Girnick, Scottish Borders",2492,,1995,25,Emily,27,COTTON HANDLOOM WEAVER,David,LABOURER,John,1925,1033,WOOLL FRAME WORK KNITTER,Kenneth,Soto,2940,Mary,2310,Ellon Aberdeenshire,2940,POWER LOOM WEAVER (COTTON),S,2492,2310
Rojas,2650,,APRIL,B,3110,,3145,Marie,1882,3145,2127,"87 Riverside Park, Highland",Rojas,Markovic,WILLIAMS,29,,WILLIAMS,3145,SYNTHETIC DATA PRODUCED USING VALIPOP,"2 Union Street, Scottish Borders",2464,,2127,18,Janet,19,SCHOLAR,George,BLACKSMITH EMPLOYING 11 MEN & 11 BOYS,William,2650,1034,GENERAL PORTER,Thomas,Brown,3110,Agnes,2698,Ellon Aberdeenshire,3110,SCHOLAR,S,2464,2698
Prochazka,3475,,NOVEMBER,B,3172,,3477,Mia,1882,3477,2259,"1 Henderson Drive, East Ayrshire",Prochazka,,Rivera,11,,Rivera,3477,SYNTHETIC DATA PRODUCED USING VALIPOP,"38 Raonmor, Highland",2702,,2259,32,Mitsuki,18,FARMER OF 40 AC,John, ,Liam,3475,1035,FARMER OF 120 AC EMPLOY 2 MEN 2 BOYS,Anton,Rodriguez,3172,Martha,3476,Portsoy Aberdeenshire,3172,SCHOLAR,S,2702,3476
Gelashvili,3628,,NOVEMBER,B,2764,,3630,Merve,1883,3630,1859,"1 Braeside Road, Ballyoukan, Perth and Kinross",Gelashvili,,Larsson,2,,Larsson,3630,SYNTHETIC DATA PRODUCED USING VALIPOP,"2 Weensmoore, Scottish Borders",2486,,1859,37,Emilie,36,BOOTMAKER,David, ,Alessandro,3628,1040,COMMERCIAL CLERK,Oliver,Muratovic,2764,Rose,3629,Borrowfield Montrose ,2764,GROCER,W,2486,3629
White,2262,,JUNE,B,3373,,2823,Hannah,1883,2823,3366,"1 Upper Sutherland Crescent, Helensburgh, Argyll and Bute",White,Garcia,Nguyen,11,,Nguyen,2823,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Underbank, Largs, North Ayrshire",3367,,3366,32,Leah,25,THROWER OF EARTHENWARE,Vytautas, ,Angus,2262,1041,CROFT OF 3 ACRES SHOEMAKERS (EMPG 2 MEN),Mustafa,Ozdemir,3373,Mary Anne,2190,Mossneuk East Kilbride ,3373,VISITOR,S,3367,2190
Martinez,5475,,SEPTEMBER,B,6050,,6089,Cath,1972,6089,5059,"257 Golf Course Road, Girvan, South Ayrshire",Martinez,Jones,Wozniak,8,,Wozniak,6089,SYNTHETIC DATA PRODUCED USING VALIPOP,"47 Scalloway Park, Broadsea, Fraserburgh",5285,,5059,24,Agnes,25,FISHERMAN,Richard,LABOURER IN SHIP YD,Alexander,5475,2082,WOOLEN WEAVER,William,Larsson,6050,Mary,5414,Scottish Borders,6050,DOMESTIC SERV,S,5285,5414
Kiss,3546,,MARCH,B,3168,,3548,Maggie,1883,3548,2493,"1 Oakdene Court, Culloden, Highland",Kiss,,Soto,11,,Soto,3548,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Whinnyhouse, Scottish Borders",2256,,2493,19,Catherine,20,SCHOLAR,Daniel,COAL MINER,Aidan,3546,1042,CROFTER & FISHERMAN,Elias,Sanchez,3168,Margaret,3547,Coplandhill Aberdeenshire,3168,FISHERWOMAN,S,2256,3547
Delic,2383,,MARCH,B,3166,,3237,Elizabeth,1883,3237,2491,"1 Rathad na Horgh, Na h-Eileanan Siar",Delic,Thill,Soto,19,,Soto,3237,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Common Road, Cellardyke, Fife",2202,,2491,18,Anne,19,SCHOLAR,Tyler,LANDED PROPRIETOR'S GARDENER,James,2383,1043,PRIVATE WATCHMAN,William,Fernandez,3166,Agnes,2450,Braeleny Farm Callander ,3166, ,S,2202,2450
Soto,2491,,NOVEMBER,B,3162,,3047,Sophie,1883,3047,3006,"1 Cowden Road, Perth and Kinross",Soto,Fernandez,Mohamed,26,,Mohamed,3047,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Cowden Road, Perth and Kinross",3007,,3006,29,Elizabeth,25,COACHMAN,Michael,PRIVATE WATCHMAN,Thomas,2491,1044,GROCER'S CLERK,Tyler,Karlsson,3162,Jeannie,2202,,3162,POWER LOOM WEAVER,S,3007,2202
Sanchez,1995,,JULY,B,3264,,3100,Catherine,1883,3100,2513,"1 Girnick, Scottish Borders",Sanchez,Soto,Garcia,26,,Garcia,3100,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Knockcushan Street, Girvan, South Ayrshire",2480,,2513,23,Antonia,18,PLOUGHMAN,Duncan,WOOLL FRAME WORK KNITTER,Patrick,1995,1045,COAL MINER,David,Szabo,3264,Agnes,2492,Wallacetown Ayr ,3264,FLAX MILL WORKER,S,2480,2492
Mohamed,3327,,FEBRUARY,B,2776,,3329,Maria,1884,3329,2429,"5 Merryton Crescent, Fishertown, Nairn",Mohamed,,Jones,21,,Jones,3329,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 St Margaret's Drive, West End, Hawick",2128,,2429,29,Marta,36,LABOURER RAILROAD,Olivier, ,Samuel,3327,1049,SALMON FISHER,Daniel,Delic,2776,Margaret,3328,Highland,2776, ,S,2128,3328
Rivera,2259,,SEPTEMBER,D,3002,,3055,Guorun,1884,3055,2211,"1 Side Road, Highland",Rivera,Rodriguez,Fernandez,1,,Fernandez,3055,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 James Street, Stotfield, Lossiemouth",2865,,2211,33,Mia,35,PLOUGHMAN,James,FARMER OF 120 AC EMPLOY 2 MEN 2 BOYS,James,2259,1050,LABOURER (GENERAL),John,Jones,3002,Hannah,2702,,3002,SEAMSTRESS,S,2865,2702
Schmidt,3184,,APRIL,B,3372,,3186,Hannah,1884,3186,3366,"1 Preston, Cockenzie and Port Seton, East Lothian",Schmidt,Zammit,Nguyen,8,,Nguyen,3186,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Underbank, Largs, North Ayrshire",3367,,3366,20,Emily,23,COTTON & WORSTED DYER,Vytautas,MUSLIN WEAVER,Luke,3184,1051,CROFT OF 3 ACRES SHOEMAKERS (EMPG 2 MEN),Alvaro,Ozdemir,3372,Anna,3185,Linlithgow Bridge Linlithgow ,3372,DOMESTIC SERVANT,S,3367,3185
Prochazka,2129,,JANUARY,B,3084,,3087,Mary,1884,3087,2703,"1 Ritchie Place, Aberdeenshire",Prochazka,Shevchuk,Rodriguez,10,,Rodriguez,3087,SYNTHETIC DATA PRODUCED USING VALIPOP,"33 Gordon Brown Place, Highland",2340,,2703,23,Siiri,24,RAILWAY CLERK,Robin,HOTEL KEEPER,Charles,2129,1052,LABOURER,Peter,Rivera,3084,Isabella,2526,Broomhill Aberdeen City,3084,FACTORY SPINNER,S,2340,2526
Mohamed,3006,,OCTOBER,B,3369,,3008,Hannah,1884,3008,3366,"1 Maconochie Place, Broadsea, Fraserburgh",Mohamed,Karlsson,Nguyen,17,,Nguyen,3008,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Underbank, Largs, North Ayrshire",3367,,3366,26,Sophie,17,CABINET MAKER JOURNEYMAN,Vytautas,FARMER OF 7 ACRES,Victor,3006,1053,CROFT OF 3 ACRES SHOEMAKERS (EMPG 2 MEN),Michael,Ozdemir,3369,Amy,3007,Benrig Manse Scottish Borders,3369,SCHOLAR,S,3367,3007
Harutyunyan,1791,,JUNE,W,2908,,2601,Elizabeth,1885,2601,2491,"1 Smedheugh, Scottish Borders",Harutyunyan,Markovic,Soto,11,,Soto,2601,SYNTHETIC DATA PRODUCED USING VALIPOP,"175 Torcy Drive, South Ayrshire",2202,,2491,43,Isabella,33,SHOE MAKER,Tyler,DRUGGIST PORTER,Bernard,1791,1058,PRIVATE WATCHMAN,George,Fernandez,2908,Jane,1946,Scottish Borders,2908,MASON'S WIFE,W,2202,1946
Kovacevic,5497,,SEPTEMBER,B,6166,,6315,Nora,1972,6315,5347,"1 India Lane, Borrowfield, Montrose",Kovacevic,Ramirez,de Boer,20,,de Boer,6315,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Cairns Court, Crieff, Perth and Kinross",5838,,5347,18,Christian,21,SCHOLAR,Joseph,CARPENTER,James,5497,2083,SHEPHERD,David,Andersson,6166,Isabella,5462,Highland,6166,DAIRY MAID,S,5838,5462
Kovacevic,2590,,SEPTEMBER,B,3296,,2923,Mary,1885,2923,3248,"1 Coplandhill, Aberdeenshire",Kovacevic,Garcia,Kovalchuk,28,,Kovalchuk,2923,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Erroll Street, Roanheads, Peterhead",2386,,3248,31,Christina,19,JUTE WEAVER,Connor,FARMER 75 AC 1 MAN 1 BOY,John,2590,1059,SAWYER,Ryan,Sanchez,3296,Annie,1846,Highland,3296,SCHOLAR'S DAUR,S,2386,1846
Maisuradze,2807,,MARCH,B,3418,,3319,Agnes,1885,3319,3279,"1 Fairhurst Road, Stranraer, Dumfries and Galloway",Maisuradze,Harutyunyan,Rossi,11,,Rossi,3319,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Henderson Road, Troon, South Ayrshire",2740,,3279,19,Bella,16,SCHOLAR,Connor,LABOURER,Archibald,2807,1060,FLESHER (MASTER),Julen,Rasmussen,3418,Elizabeth,2338,Dumfries and Galloway,3418,SCHOLAR,S,2740,2338
Sanchez,1995,,JULY,B,2636,,2723,Hellen,1886,2723,1739,"1 Girnick, Scottish Borders",Sanchez,Soto,Williams,22,,Williams,2723,SYNTHETIC DATA PRODUCED USING VALIPOP,"2 Jean Lawrie Court, Lessudden House, Scottish Borders",1722,,1739,41,Antonia,44,COTTON SPINNER,James,WOOLL FRAME WORK KNITTER,Jno,1995,1065,HOSIER & SHIRT MAKER,David,White,2636,Catherine,2492,Holmhead East Ayrshire,2636, ,W,1722,2492
Mohamed,3006,,JUNE,B,3004,,3045,Mary,1886,3045,2703,"1 Maconochie Place, Broadsea, Fraserburgh",Mohamed,Karlsson,Rodriguez,1,,Rodriguez,3045,SYNTHETIC DATA PRODUCED USING VALIPOP,"33 Gordon Brown Place, Highland",2340,,2703,26,Sophie,29,PLOUGHMAN,Robin,GROCER'S CLERK,John,3006,1066,CARTER,Michael,Rivera,3004,Jean,3007,Highland,3004,HOUSE KEEPER,S,2340,3007
Larsson,2639,,NOVEMBER,B,3206,,3235,Jane,1886,3235,2463,"1 Keltie Bridge, Braeleny Farm, Stirling",Larsson,Flores,Brown,7,,Brown,3235,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Geisher Road, Braeleny Farm, Stirling",2534,,2463,20,Ana,20,SCHOLAR,Harry,AUGR LABOURER,Arthur,2639,1067,CALICO PRINTER (JOURY),George,Hernandez,3206,Lizzie,2752,Kirkton Angus,3206, ,S,2534,2752
Visser,2175,,AUGUST,B,3627,,3103,Catherine,1886,3103,3625,"572 Moss Road, Scottish Borders",Visser,Fernandez,Zhu,31,,Zhu,3103,SYNTHETIC DATA PRODUCED USING VALIPOP,"140 Huron Avenue, Howden, Livingston",3626,,3625,25,Mary,19,GROCER'S ASSISTANT,Samuel,LINNEN WEAVER,Hugh,2175,1068, ,Alexander,,3627,Julie,2154,Girvan South Ayrshire,3627, ,S,3626,2154
Greco,1916,,JUNE,B,3086,,2933,Margaret,1887,2933,2915,"1 Jenny Moore's Road, Lessudden House, Scottish Borders",Greco,Levi,Anderson,8,,Anderson,2933,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Clerk Maxwell Crescent, Kincorth, Aberdeen City",2412,,2915,32,Maria,27,MASON'S LABOURER,Benjamin,CROFTER OF AGR LAB,Peter,1916,1072,COTTON WEAVER,Lucas,Rivera,3086,Johan,2727,Maybole South Ayrshire,3086,SEAMSTRESS,S,2412,2727
Flores,2754,,MARCH,B,3114,,3173,Catherine,1887,3173,2513,"1 Garnock Street, Dalry, North Ayrshire",Flores,CONLLY,Garcia,20,,Garcia,3173,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Knockcushan Street, Girvan, South Ayrshire",2480,,2513,24,Georgina,25,BLACKSMITH,Duncan,GAME KEEPER,James,2754,1073,COAL MINER,Isaac,Szabo,3114,Ellen,2414,Weensmoore Scottish Borders,3114, ,S,2480,2414
Grech,2203,,NOVEMBER,B,3371,,2911,Hannah,1887,2911,3366,"1 Clerk Maxwell Crescent, Kincorth, Aberdeen City",Grech,Rivera,Nguyen,25,,Nguyen,2911,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Underbank, Largs, North Ayrshire",3367,,3366,32,Margaret,25,SHIPPING CL,Vytautas,IRON SHIP BUILDER,Richard,2203,1074,CHELSEA PENSIONER,William,Ozdemir,3371,Lisandra,2412,Highland,3371,DOMESTIC SERV,S,3367,2412
Anderson,2915,,DECEMBER,W,3300,D,3351,Jane,1887,3351,2463,"1 Clerk Maxwell Crescent, Kincorth, Aberdeen City",Anderson,Rivera,Brown,15,,Brown,3351,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Geisher Road, Braeleny Farm, Stirling",2534,,2463,17,Margaret,20,SCHOLAR,Harry,COTTON WEAVER,David,2915,1075,CALICO PRINTER (JOURY),missing,Hernzndez,3300,Jane,2412,Northbank Farm Steadings Fife,3300,SCHOLAR,S,2534,2412
Jones,4453,,MAY,B,6156,,5719,Sarah,1972,5719,5351,"1 Cobblebrae Crescent, Bainsford, Falkirk",Jones,Prochazka,Muratovic,23,,Muratovic,5719,SYNTHETIC DATA PRODUCED USING VALIPOP,"2 Loch Park Road, Target Stables, Hawick",5090,,5351,32,Mary,21,ROPEMAKER,Wm,AG LABOURER,Samuel,4453,2084,DAIRYMAN,Samuel,WILLIAMS,6156,Jean,4608,Maybole South Ayrshire,6156, ,S,5090,4608
Flores,2754,,MAY,B,3358,,3141,Jane,1887,3141,2463,"1 Garnock Street, Dalry, North Ayrshire",Flores,missing,Harr?,14,,Brown,3141,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Geisher Road, Braeleny Farm, Stirling",2534,,2463,24,CONLLY,17,LABOURER,Bron,GAME KEEPER,James,2754,1076,CALICO PRINTER (JOURY),Isarc,Hernandez,3358,Mary,2414,Northbank Farm Steadings Fife,3358,SCHOLAR,S,2534,2414
Harutyunyan,1909,,DECEMBER,B,3030,,2999,Isabella,1888,2999,2977,"1 Carr Crescent, Crail, Fife",Harutyunyan,Soto,Greco,26,,Greco,2999,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Rathad na Horgh, Na h-Eileanan Siar",2978,,2977,30,Sanne,29,FARMERS SON,Jeffrey,ENGINE SMITH,Alexander,1909,1080,GRAIN STORE KEEPER,Thomas,Molnar,3030,Ann,2490,Braeleny Farm Stirling,3030, ,S,2978,2490
de Boer,1863,,JUNE,B,3074,,2987,Janet,1888,2987,2055,"1 Station Terrace, Scotstoun, Kirkliston",de Boer,Thill,Kristiansen,2,,Kristiansen,2987,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Milton Wynd, South Ayrshire",2102,,2055,33,Ann,30,AG OVERSEER,Robert,FARMER (OF 20 ACRES ARABLE AND 400 HILL PASTURE EMPLOYING 5,Thomas,1863,1081,LABOURER IRON WORK,John,Rossi,3074,Ann,1944,Milnwood North Lanarkshire,3074,FLAX MILL WORKER,W,2102,1944
Schroeder,3725,,MAY,B,3298,,3732,Ana,1888,3732,2639,"1 Blaeloch Drive, Simshill, Glasgow City",Schroeder,Vasquez,Larsson,26,,Larsson,3732,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Keltie Bridge, Braeleny Farm, Stirling",2752,,2639,17,Marie,19, ,George,COAL MINER,Conor,3725,1082,AUGR LABOURER,Aaron,Flores,3298,Susan,3726,Allanbank Lauder ,3298,SCHOLAR,S,2752,3726
HUNTER,1191,,DECEMBER,W,3302,,1861,Fatma,1888,1861,2669,"1 Benrig Manse, Scottish Borders",HUNTER,Jensen,Schroeder,25,,Schroeder,1861,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 The Avenue, Three Bridges, Inveraray",3281,,2669,73,Elizabeth,21,LINEN WEAVER,William,STONE BREAKER,James,1191,1083,IRON STONE MINER,George,Rossi,3302,Isabella,1230,Rummond Fife,3302,DOMESTIC SERVANT,S,3281,1230
Santana,3472,,JANUARY,B,3438,,3474,Mary,1888,3474,3180,"1 Grainbank, Kirkwall, Orkney Islands",Santana,,Boykohighlanders),23,,Boykohighlanders),3474,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Dalmarnock, Glasgow City",2382,,3180,19,Megan,16, ,Aaron,MINISTER'S SON,Jack,3472,1084,CROFTER,Ronald,Fernandez,3438,Jane,3473,Selwick Hoy,3438,SCHOLAR,S,2382,3473
WILLIAMS,2127,,OCTOBER,B,3924,,3109,Sophie,1888,3109,3922,"2 Union Street, Scottish Borders",WILLIAMS,Brown,Jimenez,9,,Jimenez,3109,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Glen Mount, Dalmellington, East Ayrshire",3923,,3922,27,Marie,17,LAPPER,Dylan,GENERAL PORTER,John,2127,1085, ,George,,3924,Alice,2464,Girvan South Ayrshire,3924, ,S,3923,2464
Kiss,3546,,JANUARY,B,3204,,3549,Kate,1889,3549,2439,"1 Oakdene Court, Culloden, Highland",Kiss,,Wozniak,11,,Wozniak,3549,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 School Lane, Balbinny, Angus",2416,,2439,27,Catherine,24,GENERAL SERVANT DOM,Duncan,RAILWAY LABOURER,Robin,3546,1092,FARMER OF 40 ACRES EMPLOYING 1 MAN & 1 WOMAN,Elias,Garcia,3204,Mary,3547,Highland,3204,HAND LOOM CANVAS WEAVER,S,2416,3547
Mohamed,3006,,JANUARY,B,2854,,3010,Ellen,1890,3010,2374,"1 Maconochie Place, Broadsea, Fraserburgh",Mohamed,Karlsson,Paulauskas,14,,Paulauskas,3010,SYNTHETIC DATA PRODUCED USING VALIPOP,"735 Golf Course Road, Girvan, South Ayrshire",2122,,2374,35,Sophie,37,JEWELLER,Antanas,GROCER'S CLERK,Arnau,3006,1098,SURGON LIE OF F P S G,Michael,Markovic,2854,Mary,3007,Dumfries and Galloway,2854, ,W,2122,3007
Garcia,3512,,MAY,B,3176,,3514,Sara,1890,3514,2511,"1 Sheepburn Road, Kylepark, South Lanarkshire",Garcia,Каbaney,CONLLY,25,,CONLLY,3514,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Springs Park, South Ayrshire",2861,,2511,25,Telma,26,PLOUGHMAN,John, ,Jose,3512,1099,LINEN WEAVER,Tim,Jones,3176,Ann,3513,Monksford House Scottish Borders,3176,HOUSEWIFE,S,2861,3513
Vuennaa,6955,,DECEMBER,B,6282,,6957,Agnes,1972,6957,5267,"1 Kinghorne Road, Law, Dundee City",Vuennaa,,Harris,27,,Harris,6957,SYNTHETIC DATA PRODUCED USING VALIPOP,"2 Torrie Wyne, Fife",5378,,5267,17,Fatma,18, ,Angus, ,Conor,6955,2085,QUARRY LABOURER,Jeremy,Garcia,6282,Jane,6956,Hillpark Bannockburn ,6282,SCHOLAR,S,5378,6956
Grech,2053,,MARCH,W,3174,,2825,Bridget,1890,2825,2864,"1 Shepherd Lane, Kirkton, Angus",Grech,Jones,Jones,15,,Jones,2825,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Brochroy Croft, Argyll and Bute",2410,,2864,39,Aada,27,WRITING MASTER,Pablo,SEAMAN,George,2053,1100,DRAINER,George,White,3174,Christina,2430,Aberfeldy Perth and Kinross,3174,DOMESTIC SERVANT,S,2410,2430
Markovic,2438,,OCTOBER,B,3324,,3303,Elesebeth,1890,3303,2257,"2 Braehouse, Scottish Borders",Markovic,Celik,Harutyunyan,20,,Harutyunyan,3303,SYNTHETIC DATA PRODUCED USING VALIPOP,"2 Braehouse, Scottish Borders",2506,,2257,27,Annie,26,CLERK,Adam,CROFTER,Hugh,2438,1101,MARKET GARDENER,Alexander,Williams,3324,Annie,2798,,3324,AG LAB,S,2506,2798
Nguyen,3366,,OCTOBER,B,3352,,3381,Anne,1890,3381,2383,"1 Underbank, Largs, North Ayrshire",Nguyen,Ozdemir,Delic,14,,Delic,3381,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Rathad na Horgh, Na h-Eileanan Siar",2450,,2383,20,Hannah,21,COALMINER,William,CHELSEA PENSIONER,James,3366,1102,LANDED PROPRIETOR'S GARDENER,Vytautas,Thill,3352,Ellen,3367,Bridge of Don Aberdeen City,3352,DAIRYMAID,S,2450,3367
Jones,2863,,JANUARY,B,3346,,3143,Bella,1890,3143,2807,"1 Cairnhill Place, South Ayrshire",Jones,Bolkvadze,Maisuradze,12,,Maisuradze,3143,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Fairhurst Road, Stranraer, Dumfries and Galloway",2338,,2807,27,Kate,20,MERCHANT SEAMAN,Julen,LABOURER (MASON),Kenneth,2863,1103,LABOURER,Samuel,Harutyunyan,3346,Catherine,2538,Annan Dumfries and Galloway,3346,SCHOLAR,S,2338,2538
Watanabe,2957,,FEBRUARY,W,3112,,2959,Mary,1891,2959,2703,"1 Wilton Park Road, Wilton Dean, Hawick",Watanabe,,Rodriguez,27,,Rodriguez,2959,SYNTHETIC DATA PRODUCED USING VALIPOP,"33 Gordon Brown Place, Highland",2340,,2703,47,Susana,29,PLOUGHMAN,Robin, ,Lachlan,2957,1108,CARTER,Alex,Rivera,3112,Mary,2958,Kaimhill Aberdeen City,3112,DOMESTIC SERVANT,S,2340,2958
Schmit,2413,,FEBRUARY,B,3390,,3355,Jessica,1891,3355,2721,"1 Braeleny Farm, Stirling",Schmit,Flores,Sepp,3,,Sepp,3355,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Thirlestane Drive, The Luggie, Lauder",3334,,2721,22,Chiara,21,LAPPER,John,COAL MINER,George,2413,1109,STOREMAN,Willia,White,3390,Mary,2750,North Ayrshire,3390,PROSTITUTE,S,3334,2750
