ID,day,month,year,place of marriage,forename of groom,surname of groom,occupation of groom,marital status of groom,age of groom,address of groom,forename of bride,surname of bride,occupation of bride,marital status of bride,age of bride,address of bride,groom's father's forename,groom's father's surname,groom's father's occupation,if groom's father deceased,groom's mother's forename,groom's mother's maiden surname,if groom's mother deceased,bride's father's forename,bride's father's surname,bride's father's occupation,if bride's father deceased,bride's mother's forename,bride's mother's maiden surname,if bride's mother deceased,notes1,gdeath,bdeath,GROOM_IDENTITY,BRIDE_IDENTITY,GROOM_MOTHER_IDENTITY,GROOM_FATHER_IDENTITY,BRIDE_MOTHER_IDENTITY,BRIDE_FATHER_IDENTITY,GROOM_BIRTH_RECORD_IDENTITY,BRIDE_BIRTH_RECORD_IDENTITY,GROOM_FATHER_BIRTH_RECORD_IDENTITY,GROOM_MOTHER_BIRTH_RECORD_IDENTITY,BRIDE_FATHER_BIRTH_RECORD_IDENTITY,BRIDE_MOTHER_BIRTH_RECORD_IDENTITY
846,6,JUNE,1862,"Braeleny Farm Stirling",George,Larsson, ,B,17,"1 Millbank Road, Stranraer, Dumfries and Galloway",Ana,Flores,DRESSMAKER,S,24,"1 Altyre Avenue, Pitteuchar, Glenrothes",David,Larsson,BOOKSELLER,,Merve,Muratovic,,Tyler,Flores,CROFTER,,Nahia,Dang,,SYNTHETIC DATA PRODUCED USING VALIPOP,2639,2752,2639,2752,2486,1859,2748,2747,2639,2752,1859,2486,2747,2748
847,31,MARCH,1862,"Little Richorn Dalbeattie ",James,Sanchez,PLOUGHMAN,B,26,"21 Kildoon Drive, Maybole, South Ayrshire",Margaret,Rivera,GROCER'S SHOP WOMAN,S,24,"2 Millfield Road, Dumfries and Galloway",Edgar,Sanchez,FARMER OF 200 ACRES,,Sophie,Perez,,Ethan,Rivera,L R C EDIN GEN PRACTITIONER,,Christina,GOODWIN,,SYNTHETIC DATA PRODUCED USING VALIPOP,2387,2444,2387,2444,1972,1375,1600,1634,2387,2444,1375,1972,1634,1600
848,2,MAY,1862,"Butterhall Scottish Borders",William,Delic,SHEPHERD,B,26,"1 Milton Wynd, South Ayrshire",Anne,Thill,COTTON WEAVER,S,24,"21 The Orchard, Allanbank, Lauder",Donald,Delic,PLOUGHMAN,,Ann,Popa,,John,Thill,CARTER,,Mary,Martinez,,SYNTHETIC DATA PRODUCED USING VALIPOP,2383,2450,2383,2450,1554,1489,1796,1480,2383,2450,1489,1554,1480,1796
849,31,JULY,1862,"St Mary's Duns ",Filip,Hernandez,QUAY LABOURER,B,31,"1 Nicol Place, Jessiehill Cottages, Broxburn",Aada,Morozov, ,S,25,"1 Hill Park, Haugh, Highland",Rasmus,Hernandez,MECHANIC (DISTILLERY),,Catarina,Rivera,,William,Morozov, ,,Irena,,,SYNTHETIC DATA PRODUCED USING VALIPOP,2313,3158,2313,3158,2312,2311,3154,3153,2313,3158,2311,2312,3153,3154
850,15,JUNE,1862,"Highland",Matteo,Li,SCHOLAR,B,20,"1 Balgowan Drive, Downfield, Dundee City",Minnie,DAVISON,SCHOLAR,S,17,"1 Lomond Drive, Langlees, Falkirk",Mustafa,Li,ROAD INSPECTOR,,Katharina,Gonzalez,,Thomas,DAVISON,COTTON WEAVER,,Siiri,Ramadan,,SYNTHETIC DATA PRODUCED USING VALIPOP,2680,2632,2680,2632,2679,2678,1802,1625,2680,2632,2678,2679,1625,1802
852,13,JUNE,1862,"Lessudden House Scottish Borders",Adam,Sanchez,SCHOLAR,B,16,"21 Kildoon Drive, Maybole, South Ayrshire",Catherine,Williams, ,S,20,"1 Grant Place, Claggan, Highland",Edgar,Sanchez,MASON,,Sophie,Perez,,James,Williams,HOSIER & SHIRT MAKER,,Hellen,White,,SYNTHETIC DATA PRODUCED USING VALIPOP,2730,2636,2730,2636,1972,1375,1722,1739,2730,2636,1375,1972,1739,1722
856,4,DECEMBER,1863,"Stranraer Dumfries and Galloway",John,Rivera,GROCER'S ASSISTANT,B,29,"1 Oliver Wynd, Kirkton, Angus",Agnes,Bianchi,DOMESTIC SERV,W,32,"55 The Hawthorns, Dumfries and Galloway",Ryan,Rivera,FISHERMAN,,Ann,Bolkvadze,,James,Bianchi,FARMER OF 60 ACRES,,Elizabeth,Schroeder,,SYNTHETIC DATA PRODUCED USING VALIPOP,2363,2282,2363,2282,1602,1633,1582,1629,2363,2282,1633,1602,1629,1582
857,18,JANUARY,1863,"Scaurs Jedburgh ",Thomas,Smith,STUDENT OF MEDICINE (EDINBURGH UNIVERSITY),B,28,"2 Crosbie Road, Troon, South Ayrshire",Ann,Harutyunyan,SEAMSTRESS,W,30,"1 Union Street, Scottish Borders",Samuel,Smith,MANAGER OF A COAL PIT,,Jeannie,Schroeder,,Adam,Harutyunyan,CROFTER,,Margt,COWLEY,,SYNTHETIC DATA PRODUCED USING VALIPOP,2391,2334,2391,2334,1836,1673,1668,1679,2391,2334,1673,1836,1679,1668
862,8,JANUARY,1864,,John,Schroeder,LETTER PRESS PRINTER,B,21,"1 Orchard Park, Lessudden House, Scottish Borders",Michela,Jones, ,W,40,"1 Orchard Park, Lessudden House, Scottish Borders",Thomas,Schroeder,TANNER,,Ava,Brankov,,Thomas,Jones,MINISTER OF THE FREE CHURCH STENNIS,,Ana,Ursu,,SYNTHETIC DATA PRODUCED USING VALIPOP,2693,2428,2693,2428,2217,1857,2426,2425,2693,2428,1857,2217,2425,2426
864,3,JULY,1864,,Richard,CONLLY,PLOUGHMAN,B,33,"2 Scaurs, Jedburgh, Scottish Borders",Annie,Soto, ,S,22,"2 Scaurs, Jedburgh, Scottish Borders",Neil,CONLLY,DRESS MAKER & GILDER,,Janet,Martinez,,Michael,Soto,GARDNER,,Jane,Grech,,SYNTHETIC DATA PRODUCED USING VALIPOP,2339,2670,2339,2670,1720,1795,1948,2495,2339,2670,1795,1720,2495,1948
866,29,MARCH,1864,"Allanbank Lauder ",Alexander,Markovic,CARPENTER (JOURNEYMAN),B,28,"1 Carnegie Place, Coplandhill, Aberdeenshire",Annie,Celik,SCHOLAR,S,16,"65 Lomond, Whitehills, East Kilbride",Matthew,Markovic,SHOEMAKER (EMPLOYING 1 MAN),,Jean,GOODWIN,,David,Celik,LABOURER IN A POTTERY,,Jessie,Larsen,,SYNTHETIC DATA PRODUCED USING VALIPOP,2438,2798,2438,2798,1438,1512,2024,2157,2438,2798,1512,1438,2157,2024
870,28,DECEMBER,1865,"Aberdeenshire",Daniel,Morozov,DOCK PORTER,B,31,"1 Hill Park, Haugh, Highland",Emily,Zielinski, ,S,36,"1 Gasclune Gardens, North Berwick, East Lothian",William,Morozov, ,,Irena,,,Fabio,Zielinski, ,,Olivia,Ivanovic,,SYNTHETIC DATA PRODUCED USING VALIPOP,3159,3124,3159,3124,3154,3153,3123,3122,3159,3124,3153,3154,3122,3123
872,3,APRIL,1865,"Dalry North Ayrshire",Henry,Fernandez,PLOUGHMAN,B,23,"1 Jean Lawrie Court, Lessudden House, Scottish Borders",Janet,Hernandez,SCHOLAR,S,18,"1 Cora Linn Court, North Ayrshire",Robert,Fernandez,QUAY LABOURER,,Moe,Brown,,Cameron,Hernandez,MASON'S LABOURER,,Annie,Dubois,,SYNTHETIC DATA PRODUCED USING VALIPOP,2569,2720,2569,2720,2089,1697,1990,2318,2569,2720,1697,2089,2318,1990
877,31,AUGUST,1866,"North Ayrshire",Bernard,Harutyunyan,JOURNEYMAN TAILOR,B,22,"2 Hope Street, Blackhouse, Peterhead",Theresa,Martinez,COOK,S,24,"1 Heugh, Scottish Borders",George,Harutyunyan,DRUGGIST PORTER,,Isabella,Markovic,,Hugo,Martinez,VICE ADMIRALS AGENT,,Rachel,Marquez,,SYNTHETIC DATA PRODUCED USING VALIPOP,2601,2542,2601,2542,1946,1791,1778,1706,2601,2542,1791,1946,1706,1778
878,1,JANUARY,1866,"Braeleny Farm Stirling",Willia,Schmit,ENGINE SMITH,B,28,"1 Cedar Drive, Pitcoudie, Glenrothes",Chiara,Flores,AG LAB,S,24,"1 Altyre Avenue, Pitteuchar, Glenrothes",Leevi,Schmit,JOURNEYMAN MASON,,Janet,Smit,,Tyler,Flores,MARINER,,Nahia,Dang,,SYNTHETIC DATA PRODUCED USING VALIPOP,2413,2750,2413,2750,1810,1978,2748,2747,2413,2750,1978,1810,2747,2748
879,21,SEPTEMBER,1866,"Annan Dumfries and Galloway",John,Larsson,SCHOLAR,B,20,"1 Millbank Road, Stranraer, Dumfries and Galloway",Lea,Flores,DOMESTIC SERV,S,22,"1 Altyre Avenue, Pitteuchar, Glenrothes",David,Larsson,TAILOR,,Merve,Muratovic,,Tyler,Flores,MARINER,,Nahia,Dang,,SYNTHETIC DATA PRODUCED USING VALIPOP,2717,2749,2717,2749,2486,1859,2748,2747,2717,2749,1859,2486,2747,2748
880,28,NOVEMBER,1866,"Littledean Scottish Borders",James,Hernandez,PLOUGHMAN,B,22,"1 Cora Linn Court, North Ayrshire",Jennie,Schroeder,SCHOLAR,S,18,"49 Whitehaugh Park, Kittlegairy Estate, Peebles",Cameron,Hernandez,MASON'S LABOURER,,Annie,Dubois,,John,Schroeder,MISSIONARY,,Camille,Davidov,,SYNTHETIC DATA PRODUCED USING VALIPOP,2645,2738,2645,2738,1990,2318,2086,1811,2645,2738,2318,1990,1811,2086
881,7,NOVEMBER,1866,"South Ayrshire",Jeremy,Carvalho,DYERS LABOURER,B,27,"60 Langside Avenue, Riccarton, Kilmarnock",Margaret,Hernandez, ,S,18,"1 Orchard Park, Lessudden House, Scottish Borders",Yu,Carvalho, ,,Hanna,,,Alexander,Hernandez,GROCER,,Michela,Jones,,SYNTHETIC DATA PRODUCED USING VALIPOP,2584,2746,2584,2746,2583,2582,2428,2317,2584,2746,2582,2583,2317,2428
882,26,AUGUST,1866,"Soroba Oban ",William,Novak,PLOUGHMAN,B,24,"1 Muir Road, Welltree, Fife",Catherine,Szabo,SCHOLAR,S,18,"734 Golf Course Road, Girvan, South Ayrshire",Tim,Novak,LABOURER,,Regina,Chin,,Tyler,Szabo,PAP MILL ENGINE RAG WASHER,,Elizabeth,WILLIAMS,,SYNTHETIC DATA PRODUCED USING VALIPOP,2575,2742,2575,2742,2551,2550,1902,2240,2575,2742,2550,2551,2240,1902
888,14,APRIL,1867,"The Luggie Lauder ",John,Sepp,BRICK MAKER,B,22,"1 Coleridge Avenue, Kirkfield, Bothwell",Jessica,White, ,S,16,"1 Verona Place, Ardrossan, North Ayrshire",Iker,Sepp,CLOTHS DEALER,,Ann,WILLIAMS,,Ryan,White, ,,Aada,Toth,,SYNTHETIC DATA PRODUCED USING VALIPOP,2721,3334,2721,3334,1992,1954,3331,3330,2721,3334,1954,1992,3330,3331
889,11,MAY,1867,"Highland",Jacob,White,SKINNER,B,20,"1 Verona Place, Ardrossan, North Ayrshire",Alessia,Mohamed, ,S,16,"1 Maconochie Place, Broadsea, Fraserburgh",Ryan,White,COAL MINER,,Aada,Toth,,Michael,Mohamed,FURNACE FILLER (IRONWKS),,Sophie,Karlsson,,SYNTHETIC DATA PRODUCED USING VALIPOP,3336,3012,3336,3012,3331,3330,3007,3006,3336,3012,3330,3331,3006,3007
892,6,OCTOBER,1868,"Craigie Ayr ",Matthew,Rojas,CARTER,W,34,"1 Gowanlea, The Lees, Coldstream",Janice,Flores,GROCER & SPIRIT DEALER,S,27,"1 Altyre Avenue, Pitteuchar, Glenrothes",Daniel,Rojas,CHARTERED ACCOUNTANT & MEMBER OF THE GLASGOW STOCK EXCHANGE,,Siiri,Gospodinov,,Tyler,Flores,MARINER,,Nahia,Dang,,SYNTHETIC DATA PRODUCED USING VALIPOP,2653,2751,2653,2751,2647,2646,2748,2747,2653,2751,2646,2647,2747,2748
893,30,JUNE,1868,"Braehead Prestwick ",Thomas,Thill,ASS TEACHER,B,23,"21 The Orchard, Allanbank, Lauder",Johanna,Soto,DOM SERV,S,23,"106 Courthill Street, Dalry, North Ayrshire",John,Thill,CARTER,,Mary,Martinez,,Michael,Soto,GARDNER,,Jane,Grech,,SYNTHETIC DATA PRODUCED USING VALIPOP,2637,2644,2637,2644,1796,1480,1948,2495,2637,2644,1480,1796,2495,1948
894,27,DECEMBER,1868,"Troon South Ayrshire",Connor,Rossi, ,B,18,"1 Caldra House, Scottish Borders",Agnes,Rasmussen,PRINTER,S,21,"1590 Castle Road, South Ayrshire",Tobias,Rossi,CATTLEMAN,,Lea,Meier,,Farquhar,Rasmussen,MASON'S LABOURER,,Bridget,BRADFORD,,SYNTHETIC DATA PRODUCED USING VALIPOP,3279,2740,3279,2740,3275,3274,1904,1855,3279,2740,3274,3275,1855,1904
895,27,MARCH,1868,"Stranraer Dumfries and Galloway",James,WILLIAMS,GARDEN LAB,B,30,"1 Berry Place, Northbank Farm Steadings, Fife",Ann,Larsson,SCHOLAR,S,18,"1 Douglas Gardens, Annan, Dumfries and Galloway",John,WILLIAMS,LABOURER,,Eliza,Abdullayev,,Daniel,Larsson,A B SEAMAN,,Jane,WILLIAMS,,SYNTHETIC DATA PRODUCED USING VALIPOP,2417,2744,2417,2744,1876,1817,1942,1799,2417,2744,1817,1876,1799,1942
896,16,AUGUST,1868,,Lachlan,Watanabe,LABOURER,B,33,"1 Wilton Park Road, Wilton Dean, Hawick",Amy,Liepins,FARMER SERVANT,S,27,"1 Wilton Park Road, Wilton Dean, Hawick",Alex,Watanabe, ,,Susana,,,Dylan,Liepins, ,,Ava,,,SYNTHETIC DATA PRODUCED USING VALIPOP,2959,3398,2959,3398,2958,2957,3396,3395,2959,3398,2957,2958,3395,3396
900,22,JULY,1869,"Scotstonrig Scottish Borders",Marlon,Paulauskas,RAILWAY LAB & SPIRIT DEALER,B,41,"61 Wester Common Road, Hamiltonhill, Glasgow City",Catherine,Sepp,FARMER'S SISTER,S,32,"1 Faolin, Highland",Benjamin,Paulauskas, ,,Sophie,Perez,,Simone,Sepp,GAMEKEEPER,,Oceane,Smit,,SYNTHETIC DATA PRODUCED USING VALIPOP,2373,2388,2373,2388,2370,2369,1757,1952,2373,2388,2369,2370,1952,1757
901,15,OCTOBER,1869,"Dalmarnock Glasgow City",Aaron,Boykohighlanders), ,B,40,"1 Hopefield, Bonnyrigg, Midlothian",Mary,Fernandez,GENERAL SERVANT,S,31,"3 Wooden, Scottish Borders",Florian,Boykohighlanders), ,,Carolina,,,Robert,Fernandez,STONE QUARRIER,,Viktoria,Ilves,,SYNTHETIC DATA PRODUCED USING VALIPOP,3180,2382,3180,2382,3179,3178,1608,1599,3180,2382,3178,3179,1599,1608
902,4,OCTOBER,1869,"New Prestwick Prestwick ",James,CONLLY,POTTER,B,26,"2 Allanbank, Lauder, Scottish Borders",Catherine,Paulauskas,DRESS MAKER,S,25,"1 Mary Morrison Drive, Mauchline, East Ayrshire",Neil,CONLLY,DRESS MAKER & GILDER,,Janet,Martinez,,Ren,Paulauskas,COTTON WEAVER,,Elizabeth,Schroeder,,SYNTHETIC DATA PRODUCED USING VALIPOP,2567,2638,2567,2638,1720,1795,1874,2375,2567,2638,1795,1720,2375,1874
903,10,MARCH,1869,"Crieff Perth and Kinross",John,Rivera,FISHERMAN,B,30,"1 Oliver Wynd, Kirkton, Angus",Joana,Morozov,SHOEMAKER'S WIFE,S,23,"1 Hill Park, Haugh, Highland",Ryan,Rivera,FISHERMAN,,Ann,Bolkvadze,,William,Morozov, ,,Irena,,,SYNTHETIC DATA PRODUCED USING VALIPOP,2443,3156,2443,3156,1602,1633,3154,3153,2443,3156,1633,1602,3153,3154
904,1,SEPTEMBER,1869,"Girvan South Ayrshire",William,HUNTER,BOOK BINDER,B,20,"1 Ashwell Place, Scottish Borders",Agnes,Virtanen, ,S,20,"2 Hope Street, Blackhouse, Peterhead",George,HUNTER,FERRYMAN,,Catherine,Bianchi,,William,Virtanen,CATTLEMAN,,Margaret,Markovic,,SYNTHETIC DATA PRODUCED USING VALIPOP,2731,2772,2731,2772,1696,1815,1996,2614,2731,2772,1815,1696,2614,1996
905,27,JULY,1869,"Girvan South Ayrshire",James,Jones,MINER,B,16,"1 St Margaret's Drive, West End, Hawick",Rose,Larsson,GARDENERS SERVANT,S,21,"1 Millbank Road, Stranraer, Dumfries and Galloway",Olivier,Jones,BUTLER,,Maria,Delic,,David,Larsson,TAILOR,,Merve,Muratovic,,SYNTHETIC DATA PRODUCED USING VALIPOP,2881,2764,2881,2764,2128,2429,2486,1859,2881,2764,2429,2128,1859,2486
909,10,APRIL,1870,"Westfield Cupar ",William,Grech,AMERICAN STOVE MANUFACTURERS CLK,B,24,"105 Glen Gardens, Braeleny Farm, Callander",Christina,Szabo,DOMESTIC SERV,S,27,"734 Golf Course Road, Girvan, South Ayrshire",George,Grech,SEAMAN,,Aada,Jones,,Tyler,Szabo,PAP MILL ENGINE RAG WASHER,,Elizabeth,WILLIAMS,,SYNTHETIC DATA PRODUCED USING VALIPOP,2673,2578,2673,2578,2430,2053,1902,2240,2673,2578,2053,2430,2240,1902
910,27,JANUARY,1870,"Heugh Scottish Borders",Chas,Sanchez,TEACHER,B,28,"36 Upper Crofts, Alloway, South Ayrshire",Joanna,Soto, ,S,27,"106 Courthill Street, Dalry, North Ayrshire",John,Sanchez,SHOEMAKER,,Mavis,STEWART,,Michael,Soto,GARDNER,,Jane,Grech,,SYNTHETIC DATA PRODUCED USING VALIPOP,2503,2580,2503,2580,1624,1481,1948,2495,2503,2580,1481,1624,2495,1948
911,28,JULY,1870,"Smedheugh Scottish Borders",Bernard,Harutyunyan,JOURNEYMAN TAILOR,W,28,"1 Kerse Avenue, North Ayrshire",Aldona,Mohamed, ,S,22,"1 Maconochie Place, Broadsea, Fraserburgh",George,Harutyunyan,DRUGGIST PORTER,,Isabella,Markovic,,Michael,Mohamed,FURNACE FILLER (IRONWKS),,Sophie,Karlsson,,SYNTHETIC DATA PRODUCED USING VALIPOP,2601,3013,2601,3013,1946,1791,3007,3006,2601,3013,1791,1946,3006,3007
917,11,OCTOBER,1871,"Highland",Andrew,Markovic, ,B,19,"1 Coplandhill, Aberdeenshire",Alison,White,NURSE,S,26,"92 The Green, East Lothian",Hugh,Markovic,JOINER WOOD APP,,Emma,Virtanen,,Franc,White,LABOURER,,Anna,Szabo,,SYNTHETIC DATA PRODUCED USING VALIPOP,2853,2664,2853,2664,2613,2201,2242,2263,2853,2664,2201,2613,2263,2242
918,28,MARCH,1871,"South Ayrshire",Matthew,Jones,SCHOLAR,B,18,"1 Whistleberry Wynd, Whitehill, Bothwell",Maria,Soto, ,S,21,"1 Weensmoore, Scottish Borders",Piotr,Jones,DAIRYMAN,,Sara,Mayer,,Tyler,Soto,AG LAB,,Elizabeth,Fernandez,,SYNTHETIC DATA PRODUCED USING VALIPOP,2859,2778,2859,2778,2858,2857,2202,2491,2859,2778,2857,2858,2491,2202
919,25,JUNE,1871,"Girvan South Ayrshire",John,Visser, ,B,19,"1 Scaurs, Jedburgh, Scottish Borders",Elizabeth,Larsson,SCHOLAR,S,19,"1 Millbank Road, Stranraer, Dumfries and Galloway",Edward,Visser,GARDINER,,Ann,Harutyunyan,,David,Larsson,TAILOR,,Merve,Muratovic,,SYNTHETIC DATA PRODUCED USING VALIPOP,2831,2848,2831,2848,2334,2079,2486,1859,2831,2848,2079,2334,1859,2486
920,23,AUGUST,1871,"Troon South Ayrshire",Thomas,Szabo,FARM SERVT,B,26,"86 Bay View Terrace, Dumfries and Galloway",Isabella,Rossi, ,S,19,"1 Caldra House, Scottish Borders",Andrea,Szabo,FARMER OF 30 AC EMPL 1 BOY,,Emma,Larsen,,Tobias,Rossi,CATTLEMAN,,Lea,Meier,,SYNTHETIC DATA PRODUCED USING VALIPOP,2671,3278,2671,3278,2006,2239,3275,3274,2671,3278,2239,2006,3274,3275
924,14,JANUARY,1872,"Southfield Scottish Borders",Robert,Delos Reyes,PLOUGHMAN,B,35,"1 The Saughs, Newbattle, Newtongrange",Catherine,Paulauskas,DRESS MAKER,W,29,"1 Bank Street, New Prestwick, Prestwick",Jack,Delos Reyes,AG LAB,,Margaret,Fernandez,,Ren,Paulauskas,BLACKSMITH MASTER,,Elizabeth,Schroeder,,SYNTHETIC DATA PRODUCED USING VALIPOP,2441,2638,2441,2638,1532,2058,1874,2375,2441,2638,2058,1532,2375,1874
925,13,OCTOBER,1872,"The Holmes Scottish Borders",Joao,Petrauskas,PLOUGHMAN,B,22,"1 Malvina Place, North Muirton, Perth and Kinross",Jessie,Hernandez,COTTON MILL WORKER,S,26,"1 Cora Linn Court, North Ayrshire",Diogo,Petrauskas, ,,Kristin,Dordevic,,Cameron,Hernandez,MASON'S LABOURER,,Annie,Dubois,,SYNTHETIC DATA PRODUCED USING VALIPOP,3211,2672,3211,2672,3209,3208,1990,2318,3211,2672,3208,3209,2318,1990
926,4,APRIL,1872,"The Holmes Scottish Borders",Pablo,White, ,B,24,"1 Verona Place, Ardrossan, North Ayrshire",Maria,Liepins, ,S,25,"1 Craigskeen Place, Heathfield, Prestwick",Ryan,White,COAL MINER,,Aada,Toth,,Dylan,Liepins, ,,Ava,,,SYNTHETIC DATA PRODUCED USING VALIPOP,3337,3400,3337,3400,3331,3330,3396,3395,3337,3400,3330,3331,3395,3396
927,3,FEBRUARY,1872,"Hillhouse South Lanarkshire",James,Sepp,CL IN LAWYERS OFF,B,29,"1 Coleridge Avenue, Kirkfield, Bothwell",Catalina,Karlsson, ,S,28,"1 Haining Place, Eliburn, Livingston",Iker,Sepp,CLOTHS DEALER,,Ann,WILLIAMS,,Elias,Karlsson, ,,Aino,,,SYNTHETIC DATA PRODUCED USING VALIPOP,2603,3425,2603,3425,1992,1954,3424,3423,2603,3425,1954,1992,3423,3424
928,6,DECEMBER,1872,"Grubbit Mill Scottish Borders",James,Garcia,POTATO MERCHANT,B,33,"2 Glen Gardens, Braeleny Farm, Callander",Ester,Smith,DOMESTIC SERVANT,S,25,"2 Crosbie Road, Troon, South Ayrshire",Xavier,Garcia,FARMER OF 370 ACRES EMPOYING 5 LABOURERS,,Janie,Grech,,Samuel,Smith,FARMER OF ACRES,,Jeannie,Schroeder,,SYNTHETIC DATA PRODUCED USING VALIPOP,2451,2666,2451,2666,1884,2191,1836,1673,2451,2666,2191,1884,1673,1836
929,1,JANUARY,1872,"Berryhill Strathaven ",James,HUNTER,AG LAB,B,20,"1 Benrig Manse, Scottish Borders",Milana,Rossi, ,S,17,"1 Caldra House, Scottish Borders",James,HUNTER,SPIRIT DEALER & GROCER,,Ava,Brankov,,Tobias,Rossi,CATTLEMAN,,Lea,Meier,,SYNTHETIC DATA PRODUCED USING VALIPOP,2795,3277,2795,3277,2217,1861,3275,3274,2795,3277,1861,2217,3274,3275
930,14,OCTOBER,1872,"Rummond Fife",Joseph,CONLLY,LABOURER,B,25,"1 Grubbit Mill, Scottish Borders",Sibyl,Larsson,SCHOLAR,S,18,"1 Bracklinn Road, Drumardoch Farm, Callander",James,CONLLY,COAL CARTER,,Nellie,Ilves,,William,Larsson,FLAX AND YARN AND JUTE,,Jane,Markovic,,SYNTHETIC DATA PRODUCED USING VALIPOP,2715,2884,2715,2884,1844,1209,2230,1905,2715,2884,1209,1844,1905,2230
932,11,OCTOBER,1872,"South Ayrshire",David,Thill,LABROR,B,34,"21 The Orchard, Allanbank, Lauder",Alessia,Mohamed,LATE HOUSE MAID,W,21,"1 Big Sand Road, Highland",John,Thill,CARTER,,Mary,Martinez,,Michael,Mohamed,FARMER OF 7 ACRES,,Sophie,Karlsson,,SYNTHETIC DATA PRODUCED USING VALIPOP,2509,3012,2509,3012,1796,1480,3007,3006,2509,3012,1480,1796,3006,3007
933,19,FEBRUARY,1872,"Warddykes Arbroath ",Joshua,Petrauskas,SCHOLAR,B,16,"1 Malvina Place, North Muirton, Perth and Kinross",Ivana,Perera,SCHOLAR,S,16,"1 Caerketton Crescent, Oxgangs, City of Edinburgh",Diogo,Petrauskas, ,,Kristin,Dordevic,,Ronald,Perera,LIEUT COL INDIA REVD,,Ugne,Contreras,,SYNTHETIC DATA PRODUCED USING VALIPOP,3210,3061,3210,3061,3209,3208,3060,3059,3210,3061,3208,3209,3059,3060
934,15,MARCH,1872,"Highland",James,Paulauskas,SCHOLAR,B,17,"1 Mary Morrison Drive, Mauchline, East Ayrshire",Reka,Mohamed,SCHOLAR,S,16,"1 Maconochie Place, Broadsea, Fraserburgh",Ren,Paulauskas,COTTON WEAVER,,Elizabeth,Schroeder,,Michael,Mohamed,FURNACE FILLER (IRONWKS),,Sophie,Karlsson,,SYNTHETIC DATA PRODUCED USING VALIPOP,2925,3009,2925,3009,1874,2375,3007,3006,2925,3009,2375,1874,3006,3007
938,27,JULY,1873,,Robin,Robinson,FRENCH POLISHER,B,38,"12 Brunston Avenue, South Ayrshire",Elesebeth,Williams, ,W,36,"12 Brunston Avenue, South Ayrshire",Sigurour,Robinson, ,,Audrey,,,James,Williams,HOSIER & SHIRT MAKER,,Hellen,White,,SYNTHETIC DATA PRODUCED USING VALIPOP,3118,2506,3118,2506,3117,3116,1722,1739,3118,2506,3116,3117,1739,1722
939,20,MAY,1873,,Pablo,Jones,SCUTCHER,W,44,"1 James Campbell Road, Craigie, Ayr",Catherine,Paulauskas,DOMT SERVT,D,33,"1 James Campbell Road, Craigie, Ayr",Piotr,Jones,DAIRYMAN,,Sara,Mayer,,Ren,Paulauskas,BLACKSMITH MASTER,,Elizabeth,Schroeder,,SYNTHETIC DATA PRODUCED USING VALIPOP,2864,2638,2864,2638,2858,2857,1874,2375,2864,2638,2857,2858,2375,1874
943,13,OCTOBER,1874,"Girnick Scottish Borders",Alexr,Sepp,SHIP CARPINTER,B,30,"1 Coleridge Avenue, Kirkfield, Bothwell",Janet,Hernandez,DOMESTIC SERV,W,29,"3 Garnock Street, Dalry, North Ayrshire",Iker,Sepp,HANDLOOM WEAVER,,Ann,WILLIAMS,,Cameron,Hernandez,MASON'S LABOURER,,Annie,Dubois,,SYNTHETIC DATA PRODUCED USING VALIPOP,2697,2720,2697,2720,1992,1954,1990,2318,2697,2720,1954,1992,2318,1990
944,27,OCTOBER,1874,"Calton Campbeltown ",Philip,Hernandez,SCHOLAR,B,18,"1 Cora Linn Court, North Ayrshire",Whelemina,Visser,SCHOLAR,S,19,"1 Scaurs, Jedburgh, Scottish Borders",Cameron,Hernandez,MASON'S LABOURER,,Annie,Dubois,,Edward,Visser,GARDINER,,Ann,Harutyunyan,,SYNTHETIC DATA PRODUCED USING VALIPOP,2935,2910,2935,2910,1990,2318,2334,2079,2935,2910,2318,1990,2079,2334
945,27,FEBRUARY,1874,"Maybole South Ayrshire",Wm,Soto,PLOUGHMAN,B,22,"1 Weensmoore, Scottish Borders",Isobella,Rojas,SCHOLAR,S,19,"1 Hayhill, Craigie, Ayr",Tyler,Soto,AG LAB,,Elizabeth,Fernandez,,Matthew,Rojas,WOOLEN WEAVER,,Bridget,White,,SYNTHETIC DATA PRODUCED USING VALIPOP,2829,2912,2829,2912,2202,2491,2410,2653,2829,2912,2491,2202,2653,2410
950,24,MAY,1875,"South Ayrshire",Jozef,Rossi,TEACHER,B,27,"1 Caldra House, Scottish Borders",Ann,Schroeder,COTTON WEAVER,S,29,"1 Benrig Manse, Scottish Borders",Tobias,Rossi,CATTLEMAN,,Lea,Meier,,Thomas,Schroeder,TANNER,,Ava,Brankov,,SYNTHETIC DATA PRODUCED USING VALIPOP,3280,2640,3280,2640,3275,3274,2217,1857,3280,2640,3274,3275,1857,2217
